title,genres,platforms,playtime,rating,released,summary,tags
Remnants Of Isolation,"RPG, Casual, Indie",PC,4,57,2015-05-01,"remnants of isolation. Genres: RPG, Casual, Indie. Available on: PC. Released: 2015-05-01","Singleplayer, Steam Achievements, Full controller support, steam-trading-cards, RPG, RPGMaker, RPG Maker"
Iron Storm,"Action, Shooter, Adventure, Indie","PC, macOS",1,59,2002-10-24,"iron storm. Genres: Action, Shooter, Adventure, Indie. Available on: PC, macOS. Released: 2002-10-24","Singleplayer, Multiplayer, FPS, Alternate History"
StarBreak,"Action, Massively Multiplayer, Indie","Linux, PC, macOS",1,45,2016-05-10,"starbreak. Genres: Action, Massively Multiplayer, Indie. Available on: Linux, PC, macOS. Released: 2016-05-10","Steam Achievements, Multiplayer, Full controller support, Co-op, cooperative, 2D, Sci-fi, Free to Play"
Bounty Train,"Strategy, Simulation, Indie","macOS, PC",3,59,2015-08-25,"bounty train. Genres: Strategy, Simulation, Indie. Available on: macOS, PC. Released: 2015-08-25","Singleplayer, Steam Achievements, steam-trading-cards, Early Access, Historical, Real-Time with Pause, Western, Trains"
Nomad,"Action, Adventure, Casual, Indie",PC,1,44,2015-06-26,"nomad. Genres: Action, Adventure, Casual, Indie. Available on: PC. Released: 2015-06-26","Singleplayer, Steam Achievements, Multiplayer, Atmospheric, steam-trading-cards, Great Soundtrack, Co-op, Open World"
Lost Horizon,"Adventure, Family","PC, iOS, Android, Nintendo Switch",2,71,2010-08-20,"lost horizon. Genres: Adventure, Family. Available on: PC, iOS, Android, Nintendo Switch. Released: 2010-08-20","Singleplayer, Point & Click"
Cosmonautica,"Adventure, Strategy, Simulation, Indie","iOS, PC, Android",4,51,2015-07-30,"cosmonautica. Genres: Adventure, Strategy, Simulation, Indie. Available on: iOS, PC, Android. Released: 2015-07-30","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Open World, Sci-fi"
Driver (1999),"Action, Adventure, Racing","macOS, iOS, Game Boy Color, PlayStation, PC",,80,1996-06-10,"driver. Genres: Action, Adventure, Racing. Available on: macOS, iOS, Game Boy Color, PlayStation, PC. Released: 1996-06-10","Singleplayer, exclusive, Crime, Driving"
Nightmares from the Deep 3: Davy Jones,"Adventure, Casual, Puzzle","Xbox One, PlayStation 4, macOS, Android, PC, Linux",4,70,2014-03-26,"nightmares from the deep 3 davy jones. Genres: Adventure, Casual, Puzzle. Available on: Xbox One, PlayStation 4, macOS, Android, PC, Linux. Released: 2014-03-26","Singleplayer, 2D, Horror, Female Protagonist, Point & Click, Mystery, Hidden Object, Pirates"
Luxor Evolved,"Action, Casual, Indie",PC,1,58,2012-02-23,"luxor evolved. Genres: Action, Casual, Indie. Available on: PC. Released: 2012-02-23","Singleplayer, Steam Achievements, Steam Cloud, Partial Controller Support, Steam Leaderboards, Match 3"
Ascension to the Throne,"RPG, Strategy",PC,1,76,2007-01-25,"ascension to the throne. Genres: RPG, Strategy. Available on: PC. Released: 2007-01-25","Singleplayer, Steam Cloud, RPG, Fantasy, role-playing, Turn-Based, Turn-Based Strategy"
Detective Case and Clown Bot in: Murder in the Hotel Lisbon,"Adventure, Casual, Indie","PC, Android, macOS, Linux",4,58,2014-07-17,"detective case and clown bot in murder in the ho 2. Genres: Adventure, Casual, Indie. Available on: PC, Android, macOS, Linux. Released: 2014-07-17","Singleplayer, Steam Achievements, steam-trading-cards, 2D, Pixel Graphics, Retro, Point & Click, Detective"
Mansions of Madness,"Adventure, RPG, Strategy, Board Games","macOS, PC, Android, iOS",4,80,2016-08-01,"mansions of madness. Genres: Adventure, RPG, Strategy, Board Games. Available on: macOS, PC, Android, iOS. Released: 2016-08-01","Singleplayer, Co-op, Horror, Split Screen, Lovecraftian, Board Game"
The Bug Butcher,"Action, Arcade, Casual, Indie","Xbox One, PlayStation 4, Nintendo Switch, Linux, PC, Android, iOS, macOS",4,65,2016-01-19,"the bug butcher. Genres: Action, Arcade, Casual, Indie. Available on: Xbox One, PlayStation 4, Nintendo Switch, Linux, PC, Android, iOS, macOS. Released: 2016-01-19","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op"
LEGO Star Wars II,Family,"Xbox One, Xbox 360",,79,2008-01-01,"lego star wars ii. Genres: Family. Available on: Xbox One, Xbox 360. Released: 2008-01-01","Story, Epic, fun, brick"
Donkey Kong,"Puzzle, Platformer","Game Boy, Nintendo Switch, Nintendo 3DS, Wii U, Wii, Atari 2600, Game Boy Advance, Atari 8-bit, Atari 7800, Apple II, NES, Atari XEGS, Commodore / Amiga",10,74,1981-07-09,"arcade archives donkey kong. Genres: Puzzle, Platformer. Available on: Game Boy, Nintendo Switch, Nintendo 3DS, Wii U, Wii, Atari 2600, Game Boy Advance, Atari 8-bit, Atari 7800, Apple II, NES, Atari XEGS, Commodore / Amiga. Released: 1981-07-09","Singleplayer, Multiplayer"
Heroes of Might and Magic 2: The Succession Wars,Strategy,PC,1,85,1996-10-01,heroes of might and magic 2 the succession wars. Genres: Strategy. Available on: PC. Released: 1996-10-01,"Singleplayer, Multiplayer"
Pilot Brothers,"Adventure, Casual","PC, Android, iOS",1,81,1997-09-22,"pilot brothers. Genres: Adventure, Casual. Available on: PC, Android, iOS. Released: 1997-09-22","Singleplayer, Point & Click"
Disciples Sacred Lands Gold,Strategy,PC,1,78,1999-10-04,disciples sacred lands gold. Genres: Strategy. Available on: PC. Released: 1999-10-04,"Singleplayer, Multiplayer, Fantasy, Classic, Turn-Based"
Port of Call,"Adventure, Indie","PC, macOS",1,58,2015-08-28,"port of call. Genres: Adventure, Indie. Available on: PC, macOS. Released: 2015-08-28","Singleplayer, Steam Achievements, Atmospheric, First-Person, Partial Controller Support, Horror, Free to Play, Short"
Soldiers: Heroes of World War II,"Action, Strategy",PC,1,86,2004-06-29,"soldiers heroes of world war ii. Genres: Action, Strategy. Available on: PC. Released: 2004-06-29","Singleplayer, Multiplayer, Co-op, RTS, World War II"
Full Spectrum Warrior,"Action, Strategy, Simulation","Xbox One, Xbox, PC, Xbox 360",1,60,2004-05-31,"full spectrum warrior. Genres: Action, Strategy, Simulation. Available on: Xbox One, Xbox, PC, Xbox 360. Released: 2004-05-31","Singleplayer, Multiplayer, Co-op, Tactical, Military"
Curse: The Eye of Isis,Adventure,PC,1,74,2003-10-23,curse the eye of isis. Genres: Adventure. Available on: PC. Released: 2003-10-23,"Singleplayer, Horror, Survival Horror"
Yosumin!,Casual,PC,1,34,2009-05-26,yosumin. Genres: Casual. Available on: PC. Released: 2009-05-26,Singleplayer
Canabalt,"Action, Arcade, Casual, Indie","Android, iOS, Linux, macOS, PC",2,72,2009-10-02,"canabalt. Genres: Action, Arcade, Casual, Indie. Available on: Android, iOS, Linux, macOS, PC. Released: 2009-10-02","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, 2D, Partial Controller Support"
Tekken Revolution,"Arcade, Fighting",PlayStation 3,2,65,2013-06-11,"tekken revolution. Genres: Arcade, Fighting. Available on: PlayStation 3. Released: 2013-06-11","exclusive, true exclusive"
Dance Central,Simulation,Xbox 360,,67,2010-11-04,dance central. Genres: Simulation. Available on: Xbox 360. Released: 2010-11-04,"exclusive, true exclusive"
Puyo Puyo Tetris,"Action, Arcade, Casual, Puzzle","PlayStation 4, PS Vita, Nintendo 3DS, Xbox One, PC, Nintendo Switch, PlayStation 3",5,81,2014-02-06,"puyo puyo tetris. Genres: Action, Arcade, Casual, Puzzle. Available on: PlayStation 4, PS Vita, Nintendo 3DS, Xbox One, PC, Nintendo Switch, PlayStation 3. Released: 2014-02-06","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, 2D"
Magma Tsunami,Indie,"PC, Linux",7,34,2016-06-01,"magma tsunami. Genres: Indie. Available on: PC, Linux. Released: 2016-06-01","Singleplayer, Multiplayer, steam-trading-cards, Co-op, Partial Controller Support, Split Screen"
One Manga Day,"Adventure, Simulation, Casual, Indie","Linux, macOS, PC",1,47,2015-05-04,"one manga day. Genres: Adventure, Simulation, Casual, Indie. Available on: Linux, macOS, PC. Released: 2015-05-04","Singleplayer, Steam Achievements, steam-trading-cards, Partial Controller Support, Horror, Free to Play, Anime, Nudity"
The God's Chain,Action,"macOS, PC, Linux",5,25,2016-08-14,"the gods chain. Genres: Action. Available on: macOS, PC, Linux. Released: 2016-08-14","Singleplayer, Multiplayer, steam-trading-cards, Co-op, Sci-fi, FPS, Online Co-Op, Online multiplayer"
Q*Bert: Rebooted,"Action, Arcade, Casual, Indie","PC, macOS, Linux, PlayStation 4, PS Vita, PlayStation 3",2,46,2014-07-01,"qbert rebooted. Genres: Action, Arcade, Casual, Indie. Available on: PC, macOS, Linux, PlayStation 4, PS Vita, PlayStation 3. Released: 2014-07-01","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Partial Controller Support, Steam Leaderboards, Classic, stats"
FIST OF AWESOME,"Action, Adventure, Arcade, Indie","macOS, PC, Android, iOS",1,53,2013-10-14,"fist of awesome. Genres: Action, Adventure, Arcade, Indie. Available on: macOS, PC, Android, iOS. Released: 2013-10-14","Singleplayer, Full controller support, Great Soundtrack, 2D, Partial Controller Support, Pixel Graphics, Beat 'em up"
Badland,"Action, Adventure","Android, iOS, PlayStation 4",,77,2013-04-04,"badland. Genres: Action, Adventure. Available on: Android, iOS, PlayStation 4. Released: 2013-04-04","Multiplayer, Survival, Controller, Physics, friends, Traps, Forest, flowers"
New Super Mario Bros. U Deluxe,Platformer,Nintendo Switch,,76,2019-01-11,new super mario bros u deluxe. Genres: Platformer. Available on: Nintendo Switch. Released: 2019-01-11,"Multiplayer, Controller, Physics, battle, character, friends, fun, box"
Foundation,"Strategy, Simulation, Indie",PC,6,71,2019-01-31,"foundation. Genres: Strategy, Simulation, Indie. Available on: PC. Released: 2019-01-31","Singleplayer, Steam Achievements, City Builder"
The Painscreek Killings,"Adventure, Indie",PC,5,82,2017-09-26,"the painscreek killings. Genres: Adventure, Indie. Available on: PC. Released: 2017-09-26","Singleplayer, Steam Achievements, steam-trading-cards, Horror"
Cloud Knights,"Action, Casual, Indie","PC, macOS",1,48,2015-04-27,"cloud knights. Genres: Action, Casual, Indie. Available on: PC, macOS. Released: 2015-04-27","Singleplayer, Steam Achievements, Steam Leaderboards, Split Screen, stats"
ROSE Online,"RPG, Massively Multiplayer",PC,1,41,2012-10-23,"rose online. Genres: RPG, Massively Multiplayer. Available on: PC. Released: 2012-10-23","Singleplayer, Multiplayer, RPG, Co-op, Free to Play, Anime, mmo, MMORPG"
Laraan,"Action, Adventure, Indie","Nintendo Switch, Linux, macOS, PC",4,29,2017-01-11,"laraan. Genres: Action, Adventure, Indie. Available on: Nintendo Switch, Linux, macOS, PC. Released: 2017-01-11","Singleplayer, steam-trading-cards, Partial Controller Support, Exploration"
Indie Game Battle,"Action, Indie",PC,1,30,2015-10-29,"indie game battle. Genres: Action, Indie. Available on: PC. Released: 2015-10-29","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, Split Screen, Early Access"
Magic: The Gathering - Duels of the Planeswalkers 2012,"Adventure, Strategy","PlayStation 3, PC, Xbox 360",9,67,2011-06-14,"magic the gathering duels of the planeswalkers 2 2. Genres: Adventure, Strategy. Available on: PlayStation 3, PC, Xbox 360. Released: 2011-06-14","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Co-op, Partial Controller Support, Fantasy, Steam Leaderboards"
Mirror 2: Project X,"Adventure, RPG, Indie",PC,3,61,2022-01-20,"mirror 2 project x. Genres: Adventure, RPG, Indie. Available on: PC. Released: 2022-01-20","Singleplayer, Steam Achievements, RPG, Story Rich, Horror, Female Protagonist, Early Access, Anime"
KIDS,"Adventure, Casual, Indie, Puzzle","macOS, PC, Linux, iOS, Android",1,71,2019-05-28,"kids. Genres: Adventure, Casual, Indie, Puzzle. Available on: macOS, PC, Linux, iOS, Android. Released: 2019-05-28","Singleplayer, Horror, Short, animation, kids, black, white, crowds"
WWE 2K19,"Simulation, Sports","Xbox One, PC, PlayStation 4",18,72,2018-10-05,"wwe 2k19. Genres: Simulation, Sports. Available on: Xbox One, PC, PlayStation 4. Released: 2018-10-05","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, cooperative, Violent"
Doki-Doki Universe,"Adventure, Arcade","PlayStation 4, PlayStation 3, PS Vita",1,58,2013-11-12,"doki doki universe. Genres: Adventure, Arcade. Available on: PlayStation 4, PlayStation 3, PS Vita. Released: 2013-11-12","exclusive, Story, online, fun, planet, planets, pack, text"
Battle Realms + Winter of the Wolf,Strategy,PC,1,54,2002-11-10,battle realms winter of the wolf. Genres: Strategy. Available on: PC. Released: 2002-11-10,"Singleplayer, Multiplayer"
Diehard Dungeon,"Action, Adventure, RPG, Indie",PC,3,47,2014-03-05,"diehard dungeon. Genres: Action, Adventure, RPG, Indie. Available on: PC. Released: 2014-03-05","Singleplayer, Steam Achievements, Full controller support, steam-trading-cards, RPG, 2D, Difficult, Steam Leaderboards"
Party of Sin,"Action, Adventure, Indie",PC,2,47,2012-12-13,"party of sin. Genres: Action, Adventure, Indie. Available on: PC. Released: 2012-12-13","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative, Steam Leaderboards"
ROUNDS,"Action, Indie",PC,3,74,2021-04-01,"rounds. Genres: Action, Indie. Available on: PC. Released: 2021-04-01","Multiplayer, 2D, Partial Controller Support, Split Screen, Local Multiplayer, PvP, Physics, Side Scroller"
Escape Plan (2017),Puzzle,PC,,55,2017-06-25,escape plan. Genres: Puzzle. Available on: PC. Released: 2017-06-25,"escape, Unreal Engine, Horrible, building-escape"
Blackwell Epiphany,"Adventure, Indie","macOS, Linux, PC",4,86,2014-04-24,"blackwell epiphany. Genres: Adventure, Indie. Available on: macOS, Linux, PC. Released: 2014-04-24","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Story Rich, 2D, Female Protagonist, Pixel Graphics"
Richard & Alice,"Adventure, Indie",PC,3,73,2013-02-20,"richard alice. Genres: Adventure, Indie. Available on: PC. Released: 2013-02-20","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Story Rich, Point & Click, Post-apocalyptic, Mystery"
BRAINPIPE: A Plunge to Unhumanity,"Casual, Indie","macOS, PC",1,0,2008-12-24,"brainpipe a plunge to unhumanity. Genres: Casual, Indie. Available on: macOS, PC. Released: 2008-12-24","Singleplayer, Partial Controller Support, Psychedelic, free"
Super 3-D Noah's Ark,"Action, Shooter, Educational","PC, macOS, Linux, Android, Classic Macintosh, Genesis, SNES",5,53,1994-12-31,"super 3 d noahs ark. Genres: Action, Shooter, Educational. Available on: PC, macOS, Linux, Android, Classic Macintosh, Genesis, SNES. Released: 1994-12-31","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, First-Person, FPS, Fantasy"
Stone Age Wars,"Action, Strategy, Indie",PC,3,24,2017-01-09,"stone age wars. Genres: Action, Strategy, Indie. Available on: PC. Released: 2017-01-09","Singleplayer, steam-trading-cards, Violent"
Dogfight 1942,"Action, Racing","PlayStation 3, Xbox 360, PC",1,49,2012-09-05,"dogfight 1942. Genres: Action, Racing. Available on: PlayStation 3, Xbox 360, PC. Released: 2012-09-05","Singleplayer, Steam Achievements, Partial Controller Support, Split Screen, Local Co-Op, Local Multiplayer, World War II, Flight"
Metal Gear,"Action, Adventure","PC, NES, Commodore / Amiga",1,72,1987-07-07,"metal gear. Genres: Action, Adventure. Available on: PC, NES, Commodore / Amiga. Released: 1987-07-07",Singleplayer
Pac-Man C.E.,"Action, Adventure","Xbox 360, Xbox One",,76,2007-06-06,"pac man ce. Genres: Action, Adventure. Available on: Xbox 360, Xbox One. Released: 2007-06-06","speed, evolution, sound"
Lunar Flight,"Simulation, Indie","macOS, PC",2,54,2012-01-15,"lunar flight. Genres: Simulation, Indie. Available on: macOS, PC. Released: 2012-01-15","Singleplayer, Steam Achievements, Multiplayer, steam-trading-cards, Partial Controller Support, Difficult, Steam Leaderboards, stats"
CAT Interstellar,"Adventure, Indie","PlayStation 4, Linux, PC",3,49,2015-08-28,"cat interstellar. Genres: Adventure, Indie. Available on: PlayStation 4, Linux, PC. Released: 2015-08-28","Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Story Rich, Open World, First-Person"
Parkitect,"Simulation, Indie","Linux, PC, macOS",3,84,2016-05-05,"parkitect. Genres: Simulation, Indie. Available on: Linux, PC, macOS. Released: 2016-05-05","Singleplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, Funny, Sandbox, Early Access, stats"
Subject 13,"Adventure, Indie, Puzzle","Xbox One, PlayStation 4, macOS, PC",4,57,2015-05-27,"subject 13. Genres: Adventure, Indie, Puzzle. Available on: Xbox One, PlayStation 4, macOS, PC. Released: 2015-05-27","Singleplayer, Steam Achievements, steam-trading-cards, Exploration, Point & Click"
Sparkle ZERO,"Action, RPG, Simulation, Indie","Nintendo Switch, Android, PC, Linux, iOS, macOS",4,43,2016-03-14,"sparkle zero. Genres: Action, RPG, Simulation, Indie. Available on: Nintendo Switch, Android, PC, Linux, iOS, macOS. Released: 2016-03-14","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards"
Shin Megami Tensei: Persona 3 FES,RPG,PlayStation 2,3,90,2007-04-19,shin megami tensei persona 3 fes. Genres: RPG. Available on: PlayStation 2. Released: 2007-04-19,RPG
Serious Sam: Siberian Mayhem,"Action, Shooter, Adventure",PC,4,70,2022-01-24,"serious sam siberian mayhem. Genres: Action, Shooter, Adventure. Available on: PC. Released: 2022-01-24","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Co-op, First-Person, Sci-fi"
Cruelty Squad,"Action, Indie",PC,2,82,2021-06-16,"cruelty squad. Genres: Action, Indie. Available on: PC. Released: 2021-06-16","Singleplayer, First-Person, Sci-fi, FPS, Difficult, Stealth, Tactical, Early Access"
Tennis World Tour 2,"Simulation, Sports","PC, Nintendo Switch, Xbox One, PlayStation 4",2,56,2020-09-22,"tennis world tour 2. Genres: Simulation, Sports. Available on: PC, Nintendo Switch, Xbox One, PlayStation 4. Released: 2020-09-22","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, cooperative, Third Person"
BattleBit,"Action, Simulation, Indie",PC,7,81,,"battlebit. Genres: Action, Simulation, Indie. Available on: PC","Singleplayer, Multiplayer, Co-op, First-Person, FPS, Online Co-Op, Free to Play, Online multiplayer"
Shadowgrounds: Survivor,Arcade,PC,3,55,2007-11-14,shadowgrounds survivor 2. Genres: Arcade. Available on: PC. Released: 2007-11-14,"Space, Story, character, Science, skill, Sniper, alien, moon"
Puzzle Bots,"Adventure, Indie",PC,1,37,2010-10-22,"puzzle bots. Genres: Adventure, Indie. Available on: PC. Released: 2010-10-22","Singleplayer, Point & Click, Robots"
Lost girl`s [diary],Adventure,"macOS, PC",1,53,2016-03-24,"lost girls diary. Genres: Adventure. Available on: macOS, PC. Released: 2016-03-24","Singleplayer, Steam Achievements, Horror, Free to Play, Anime, Visual Novel"
Knights of Honor,Strategy,PC,1,78,2004-09-29,knights of honor. Genres: Strategy. Available on: PC. Released: 2004-09-29,"Singleplayer, Multiplayer, Great Soundtrack, Classic, War, Historical, Medieval, RTS"
F1 2010,"Sports, Racing","PlayStation 3, Xbox 360, PC",5,69,2010-09-22,"f1 2010. Genres: Sports, Racing. Available on: PlayStation 3, Xbox 360, PC. Released: 2010-09-22","Singleplayer, Multiplayer, Partial Controller Support"
Wild Island Quest,"Adventure, Indie","Linux, macOS, PC",4,33,2015-09-04,"wild island quest. Genres: Adventure, Indie. Available on: Linux, macOS, PC. Released: 2015-09-04","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Choices Matter, Multiple Endings, Visual Novel, Choose Your Own Adventure"
Team Indie,"Action, Indie","macOS, PC",3,41,2014-10-08,"team indie. Genres: Action, Indie. Available on: macOS, PC. Released: 2014-10-08","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, 2D, stats, Puzzle-Platformer"
Dracula 2: The Last Sanctuary,Adventure,"PlayStation, macOS, PC",1,54,2013-10-19,"dracula 2 the last sanctuary. Genres: Adventure. Available on: PlayStation, macOS, PC. Released: 2013-10-19","Singleplayer, Horror, Point & Click, Vampire"
Ara Fell,"Adventure, RPG, Indie",PC,4,58,2016-01-18,"ara fell. Genres: Adventure, RPG, Indie. Available on: PC. Released: 2016-01-18","Singleplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich"
MSM: The Lost Landscapes,,PC,,87,2021-12-26,msm the lost landscapes. Available on: PC. Released: 2021-12-26,"Music, my-singing-monsters, dawn-of-fire"
Postal 4: No Regrets,"Action, Shooter, Adventure",PC,1,46,2022-04-20,"postal 4 no regerts. Genres: Action, Shooter, Adventure. Available on: PC. Released: 2022-04-20","Singleplayer, Story Rich, Open World, First-Person, FPS, Funny, Gore, Comedy"
Atelier Ryza: Ever Darkness & the Secret Hideout,"Adventure, RPG","PlayStation 4, Nintendo Switch, PC",3,71,2019-10-26,"atelier ryza ever darkness the secret hideout. Genres: Adventure, RPG. Available on: PlayStation 4, Nintendo Switch, PC. Released: 2019-10-26","Singleplayer, Steam Achievements, Steam Cloud, Great Soundtrack, RPG, Partial Controller Support, Exploration, Female Protagonist"
Medal of Honor: Frontline,Shooter,"PlayStation 3, Xbox, GameCube, PlayStation 2",,78,2002-05-28,"medal of honor frontline. Genres: Shooter. Available on: PlayStation 3, Xbox, GameCube, PlayStation 2. Released: 2002-05-28","Singleplayer, Multiplayer, FPS, online, battle, World War II"
MechWarrior 5: Mercenaries,"Action, Shooter, Simulation","Xbox One, Xbox Series S/X, PC",5,62,2019-12-10,"mechwarrior 5 mercenaries. Genres: Action, Shooter, Simulation. Available on: Xbox One, Xbox Series S/X, PC. Released: 2019-12-10","Singleplayer, Steam Achievements, Multiplayer, Co-op, cooperative, First-Person, Partial Controller Support, FPS"
MDK 2,Action,"Wii, PC, PlayStation 2, Dreamcast",1,78,2000-05-29,"mdk2. Genres: Action. Available on: Wii, PC, PlayStation 2, Dreamcast. Released: 2000-05-29","Singleplayer, Third Person, Sci-fi, Classic, Comedy, humor"
hack_me 2,"Simulation, Indie",PC,3,41,2017-03-11,"hack_me 2. Genres: Simulation, Indie. Available on: PC. Released: 2017-03-11","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Hacking"
Tales of Escape,"Adventure, Casual, Indie",PC,2,45,2017-03-15,"tales of escape. Genres: Adventure, Casual, Indie. Available on: PC. Released: 2017-03-15","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, cooperative, Partial Controller Support, Horror"
Dark Fall: The Journal,Adventure,PC,1,54,2002-06-18,dark fall the journal. Genres: Adventure. Available on: PC. Released: 2002-06-18,"Singleplayer, Atmospheric, First-Person, Horror, Point & Click, Mystery, Supernatural"
Murder by Numbers,"Adventure, Indie","Nintendo Switch, PC",5,70,2020-03-05,"murder by numbers. Genres: Adventure, Indie. Available on: Nintendo Switch, PC. Released: 2020-03-05","Singleplayer, Great Soundtrack, Story Rich, Partial Controller Support, Mystery, Crime, Visual Novel, Detective"
Cadence of Hyrule,"Action, Adventure, RPG",Nintendo Switch,,81,2019-06-13,"cadence of hyrule. Genres: Action, Adventure, RPG. Available on: Nintendo Switch. Released: 2019-06-13","Singleplayer, Great Soundtrack, Co-op, 2D, Fantasy, Female Protagonist, Local Co-Op, exclusive"
REVOLVER360 RE:ACTOR,"Action, Shooter, Arcade, Indie",PC,3,54,2014-10-20,"revolver360 reactor. Genres: Action, Shooter, Arcade, Indie. Available on: PC. Released: 2014-10-20","Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, 2D, Sci-fi"
Ignite,"Action, Racing",PC,1,35,2011-10-28,"ignite. Genres: Action, Racing. Available on: PC. Released: 2011-10-28","Singleplayer, Multiplayer, Third Person, Partial Controller Support, Fantasy, Survival, Free to Play, Controller"
Sepia Tears,"Simulation, Casual, Indie","macOS, PC, Linux",1,58,2016-01-08,"sepia tears. Genres: Simulation, Casual, Indie. Available on: macOS, PC, Linux. Released: 2016-01-08","Singleplayer, Steam Achievements, Free to Play, Anime, Nudity, Visual Novel, Romance"
RefleX,"Action, Strategy, Casual, Indie",PC,2,35,2014-03-27,"reflex. Genres: Action, Strategy, Casual, Indie. Available on: PC. Released: 2014-03-27","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Great Soundtrack, 2D, Sci-fi, Partial Controller Support"
ESEA,,PC,1,52,2016-07-08,esea. Available on: PC. Released: 2016-07-08,"Multiplayer, Co-op, Mature, Competitive, e-sports, Utilities"
Might & Magic Heroes VII,"RPG, Strategy",PC,5,66,2015-09-29,"might magic heroes vii. Genres: RPG, Strategy. Available on: PC. Released: 2015-09-29","Singleplayer, Steam Achievements, Multiplayer, Atmospheric, steam-trading-cards, RPG, Co-op, Story Rich"
Anno 2205,"Strategy, Simulation",PC,11,78,2015-11-02,"anno 2205. Genres: Strategy, Simulation. Available on: PC. Released: 2015-11-02","Singleplayer, Steam Achievements, Multiplayer, steam-trading-cards, Great Soundtrack, Co-op, Sci-fi, Space"
WayOut,"Strategy, Casual, Indie, Puzzle","Nintendo Switch, PC, macOS, Linux, iOS",3,64,2016-11-04,"wayout. Genres: Strategy, Casual, Indie, Puzzle. Available on: Nintendo Switch, PC, macOS, Linux, iOS. Released: 2016-11-04","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Open World, 2D, Difficult"
Sumo Revise,"Action, Casual, Indie",PC,5,0,2015-06-25,"sumo revise. Genres: Action, Casual, Indie. Available on: PC. Released: 2015-06-25","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Split Screen, Includes level editor"
The Legend of Heroes: Trails in the Sky SC,RPG,"PC, PSP",15,88,2015-10-28,"legend of heroes trails in the sky sc. Genres: RPG. Available on: PC, PSP. Released: 2015-10-28","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Partial Controller Support"
Ironclad Tactics,"Strategy, Casual, Indie","PlayStation 4, Android, PC, Linux, macOS",3,60,2013-09-18,"ironclad tactics. Genres: Strategy, Casual, Indie. Available on: PlayStation 4, Android, PC, Linux, macOS. Released: 2013-09-18","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Co-op, Tactical, Turn-Based Strategy"
Bloo Kid 2,"Action, Arcade, Indie","Nintendo 3DS, Nintendo Switch, iOS, PC",1,40,2014-03-06,"bloo kid 2. Genres: Action, Arcade, Indie. Available on: Nintendo 3DS, Nintendo Switch, iOS, PC. Released: 2014-03-06","Singleplayer, Steam Achievements, Full controller support, 2D, Retro"
Letter Quest: Grimm's Journey,"Casual, Indie, Puzzle","iOS, macOS, PC",4,59,2014-02-05,"letter quest grimms journey. Genres: Casual, Indie, Puzzle. Available on: iOS, macOS, PC. Released: 2014-02-05","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, RPG, Steam Leaderboards, Touch-Friendly, Word Game"
You Suck at Parking,"Action, Racing, Indie","PC, Xbox One, Xbox Series S/X",2,65,2022-09-14,"you suck at parking. Genres: Action, Racing, Indie. Available on: PC, Xbox One, Xbox Series S/X. Released: 2022-09-14","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Comedy, Controller, PvP"
